Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bangladesh,BGD,,,,,,,,,,,59.45208,,,,,61.11024,57.54359,,54.4916,60.50699,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,93.54663,93.57265,89.011,95.12986,96.6303,94.16433,93.9913,95.2206,,99.59356,101.53456,103.56429,127.10957,97.98892,97.55429,94.77904,94.41496,92.41786,96.35613,,
Belgium,BEL,,78.84519,,,,,,,,,,,,,,,86.67743,85.99731,86.04568,87.03419,
Belize,BLZ,,,95.56341,,,88.17186,92.30251,,,91.18531,93.2565,96.27757,94.33083,95.27815,96.41977,98.24436,98.84295,102.04453,99.27465,105.54086,
Benin,BEN,19.45263,22.13577,22.36141,24.59586,26.7002,31.45998,33.63807,36.12607,38.98504,,39.30972,43.28022,45.35672,49.74291,53.55036,,,,65.13789,61.99449,
Bermuda,BMU,,,,,,,,,,,,96.46643,101.06635,98.32335,93.19563,93.60394,93.40796,,,,
Bhutan,BTN,,,,24.3195,29.02542,,,,47.30874,50.82231,51.6064,51.77287,,,,64.91195,73.29711,,84.48692,88.4681,
Bolivia,BOL,71.41822,,,,,,,,,97.4063,98.91833,99.14517,102.57097,101.32166,100.88015,,100.94714,97.74269,98.82139,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,89.79386,90.47725,91.17325,90.43123,94.99673,91.75381,93.45261,,93.41664,91.14344,90.95621,93.6272,95.18105,95.38772,95.33297,95.38841,98.98571,95.46566,,,
Brazil,BRA,,,92.57243,92.05111,89.70737,,,,,,107.7467,110.49073,110.89593,108.54782,104.85617,105.84435,,,,,
Brunei Darussalam,BRN,,99.98132,102.32687,101.13036,103.82543,101.71318,,113.28351,121.08063,123.79327,121.66455,126.31824,120.22115,121.57357,111.91273,106.80448,106.53567,106.69789,105.70779,103.64984,
Bulgaria,BGR,101.06688,89.61868,86.83994,84.51189,86.23742,86.54238,90.73428,96.2179,96.76457,99.64315,99.18988,103.03049,96.80148,97.85808,98.75534,98.45855,98.0181,98.225,89.93236,93.86475,
Burkina Faso,BFA,19.2789,19.88965,26.54289,26.04771,26.94791,18.57056,22.61089,,,23.17772,25.11289,26.33401,26.98346,28.48656,29.75242,31.07963,32.18307,34.22879,37.99923,43.00613,46.90128
Burundi,BDI,40.92348,45.86378,49.24125,52.67726,,,,,,22.20116,24.60217,25.38931,25.8977,30.63781,33.42115,36.37797,,42.07774,45.20584,52.43638,
Cambodia,KHM,,,,,45.40557,42.51023,,15.92179,30.82667,40.12083,,51.11937,59.50574,65.47382,76.00082,85.18317,86.65442,85.0017,79.47861,,
Cameroon,CMR,54.18985,53.10619,,,,,,,,48.5777,49.93794,,51.28078,57.083,59.18169,52.12551,51.83778,55.53795,72.70164,73.44308,
Canada,CAN,,,,,,,,,94.26483,95.65681,,,,,,,95.74914,,,,
Cape Verde,CPV,53.57103,,,,67.15853,,,,96.29934,105.29118,103.24041,97.22615,98.15625,98.66625,96.56277,82.3995,93.49536,87.36975,91.98827,86.62476,
Cayman Islands,CYM,,,,,,,,,,,104.9676,107.67677,107.16981,,91.0299,86.45669,82.32628,83.25991,83.83838,,
Central African Republic,CAF,30.35604,28.20449,22.64681,,,,,,,,,,,26.62785,23.89404,26.27101,26.38275,32.61997,35.46239,38.02067,40.12462
Chad,TCD,16.25256,17.79202,,,17.83527,14.13906,14.75906,15.36848,0,20.13421,22.40717,24.81148,27.75389,32.93603,34.8331,31.56451,31.23423,30.92138,,33.47436,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,90.79481,97.42306,98.11279,,100.29066,97.21243,95.37983,,,94.83716,,,
China,CHN,104.40326,107.01762,104.1858,105.13816,104.61568,97.82012,93.88016,94.99733,,,,,,,,,,,,,
Colombia,COL,73.75638,72.85129,81.681,82.91804,82.78088,86.68133,87.79528,,93.37569,94.91978,95.17455,92.69101,93.30743,,100.77154,103.89451,109.44196,110.84049,110.47104,114.79025,
Comoros,COM,,,39.63986,34.22601,40.62477,,,,,48.91692,,,63.70381,63.24755,68.46932,69.27707,,70.7412,81.01795,,
"Congo, Dem. Rep.",ZAR,,48.4336,44.68725,51.24989,43.07592,,,,,30.8911,,,37.46234,,,,,48.62446,53.23827,55.85471,
"Congo, Rep.",COG,58.80013,54.06832,60.82504,62.00546,52.69193,,48.02129,,,,,55.42083,58.17074,54.98024,79.4381,69.86556,76.89744,76.69103,73.06955,74.06552,
Costa Rica,CRI,74.3669,78.92543,81.1189,83.30107,82.05621,80.87615,82.2283,,,81.93557,86.54643,88.95544,91.16635,91.31758,92.34011,91.98694,89.03931,91.37172,92.8693,95.66762,
Cote d'Ivoire,CIV,40.056,42.46029,39.3744,40.54588,40.5123,39.15162,40.4018,41.32551,,41.28293,41.79893,44.8124,,,,,43.3056,44.73565,,46.475,
Croatia,HRV,,,,,85.26711,81.56083,85.45772,86.24364,91.62169,90.74627,91.95601,94.68027,95.32332,91.57655,,94.80046,96.3876,101.6332,99.70618,97.05277,
